stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting
173.7,61.2,93.8,94.4,66.8,54.7,21.2,37.8,54.5
176.9,57.1,89.6,88.8,64.1,51.1,19.8,36.6,51.7
168.6,65.0,93.5,97.4,72.4,59.1,22.0,36.1,52.8
159.0,52.9,89.3,89.4,65.8,53.3,20.5,35.0,50.3
154.0,47.4,86.2,86.3,65.1,50.2,19.0,34.7,47.3
166.2,60.1,88.5,89.9,69.3,54.5,21.6,36.5,51.8
162.4,61.0,84.5,94.7,67.0,57.8,22.4,34.4,48.8
170.2,79.3,103.2,106.7,83.0,65.3,21.2,36.6,52.8
162.6,64.6,92.3,97.0,75.5,57.5,21.7,35.0,53.7
170.5,71.2,100.2,102.7,76.8,62.0,22.4,37.2,53.5
162.9,60.2,92.3,97.4,73.5,55.8,20.1,35.6,47.8
168.0,77.0,99.5,101.0,73.3,66.7,21.0,37.5,54.3
161.0,58.5,90.5,93.9,74.3,58.5,18.2,33.2,51.0
162.2,60.9,85.8,97.8,71.9,60.0,21.5,34.3,50.6
164.0,60.4,88.0,96.0,76.0,57.4,22.2,34.7,50.8
159.2,56.4,83.6,94.5,67.8,58.5,20.2,34.8,50.8
164.1,63.3,87.6,96.3,69.6,60.1,21.1,38.0,50.9
163.9,51.1,84.8,85.7,67.5,50.3,19.0,34.2,50.1
161.1,62.3,95.3,98.8,78.3,56.7,19.4,35.9,51.3
156.8,46.7,83.4,84.2,62.1,50.5,17.5,34.1,48.6
160.6,59.0,88.3,96.3,75.3,57.5,20.2,34.8,51.8
166.2,69.2,95.5,103.4,74.8,65.7,21.3,36.4,53.1
159.2,56.3,89.3,90.9,67.5,56.5,21.2,36.0,51.3
159.9,64.0,95.5,99.4,75.2,62.1,19.4,36.5,52.8
168.1,64.6,96.5,102.5,79.3,56.5,19.0,36.1,52.9
151.8,47.2,79.8,87.4,68.2,49.6,18.9,32.8,48.5
170.6,73.4,103.1,103.4,79.0,61.8,22.0,36.8,55.8
178.8,63.5,91.2,95.1,67.9,55.0,20.2,39.4,54.4
159.4,65.5,96.6,98.8,75.4,61.5,21.1,34.6,51.1
158.0,56.3,93.3,90.1,67.9,54.7,19.2,38.2,49.9
173.8,88.7,98.9,107.3,83.4,69.6,22.6,39.7,56.2
154.1,56.0,87.6,92.5,71.5,56.7,21.2,36.4,47.6
166.7,70.5,93.8,101.8,71.9,63.6,20.3,39.5,53.7
157.6,63.9,92.6,98.7,73.5,58.3,20.6,35.9,51.2
159.5,61.5,90.0,98.3,71.3,60.3,20.8,34.4,48.8
168.5,60.0,85.4,96.6,69.1,58.9,20.6,36.6,55.2
150.2,54.6,92.2,95.8,73.0,55.2,20.1,36.2,46.8
167.0,71.9,94.8,103.4,77.4,66.3,20.9,37.3,50.3
170.5,57.5,82.4,88.2,68.9,55.3,20.8,37.8,57.3
148.6,60.2,94.7,91.9,76.7,58.1,23.0,36.4,46.8
171.0,68.6,89.9,100.5,76.2,62.2,20.0,37.0,57.0
156.6,60.8,90.2,98.5,72.9,58.2,20.8,36.3,47.5
152.2,56.7,96.1,95.3,72.5,54.7,20.1,36.2,49.1
165.3,52.5,84.2,87.8,67.7,50.6,22.3,36.1,50.9
173.1,65.7,91.4,96.0,73.4,57.5,20.8,36.4,56.1
163.0,66.9,91.4,100.7,76.9,61.0,21.3,36.0,50.9
159.1,60.0,91.2,92.9,76.3,55.5,21.4,37.3,50.2
157.2,55.8,87.2,93.5,74.5,54.5,19.3,35.0,49.8
157.0,63.8,92.1,98.2,72.0,63.3,20.1,36.6,48.3
159.0,62.5,95.9,95.6,78.3,60.0,19.2,36.0,52.2
157.7,57.7,89.6,92.5,68.5,56.5,20.1,35.5,50.7
